url,label,source,note
https://www.kbstar.com/,0,official_registry,KB국민은행 공식 웹사이트
https://www.shinhan.com/,0,official_registry,신한은행 공식 웹사이트
https://www.wooribank.com/,0,official_registry,우리은행 공식 웹사이트
https://www.kebhana.com/,0,official_registry,하나은행 공식 웹사이트
https://www.nhbank.com/,0,official_registry,NH농협은행 공식 웹사이트
https://www.ibk.co.kr/,0,official_registry,IBK기업은행 공식 웹사이트
https://www.kakaobank.com/,0,official_registry,카카오뱅크 공식 웹사이트
https://www.kbanknow.com/,0,official_registry,케이뱅크 공식 웹사이트
https://www.tossbank.com/,0,official_registry,토스뱅크 공식 웹사이트
https://www.epostbank.go.kr/,0,official_registry,우체국예금보험 공식 웹사이트
